generation,mean_p,sd_p,hawk_freq,n,k,early_stop,ess
688,0.71329,0.1394,0.71329,100,23,false,0.66667
689,0.71691,0.13708,0.71691,100,22,false,0.66667
690,0.7005,0.14609,0.7005,100,26,false,0.66667
691,0.6944,0.15153,0.6944,100,32,false,0.66667
692,0.68891,0.15466,0.68891,100,27,false,0.66667
693,0.70263,0.15133,0.70263,100,31,false,0.66667
694,0.71796,0.14867,0.71796,100,21,false,0.66667
695,0.72035,0.15418,0.72035,100,30,false,0.66667
696,0.72868,0.15259,0.72868,100,25,false,0.66667
697,0.72932,0.15206,0.72932,100,16,false,0.66667
698,0.73514,0.14891,0.73514,100,21,false,0.66667
699,0.73185,0.14922,0.73185,100,16,false,0.66667
700,0.73246,0.14953,0.73246,100,17,false,0.66667
701,0.72631,0.15355,0.72631,100,16,false,0.66667
702,0.72368,0.15577,0.72368,100,22,false,0.66667
703,0.72186,0.15145,0.72186,100,22,false,0.66667
704,0.713,0.1582,0.713,100,17,false,0.66667
705,0.71905,0.16443,0.71905,101,20,false,0.66667
706,0.72037,0.16334,0.72037,100,30,false,0.66667
707,0.73633,0.16276,0.73633,100,29,false,0.66667
708,0.74906,0.15608,0.74906,100,20,false,0.66667
709,0.75189,0.16023,0.75189,100,12,false,0.66667
710,0.74047,0.1592,0.74047,100,20,false,0.66667
711,0.73444,0.16308,0.73444,100,14,false,0.66667
712,0.72816,0.16433,0.72816,100,16,false,0.66667
713,0.74604,0.15793,0.74604,100,23,false,0.66667
714,0.74006,0.15973,0.74006,100,17,false,0.66667
715,0.72778,0.16468,0.72778,100,24,false,0.66667
716,0.73194,0.16095,0.73194,100,29,false,0.66667
717,0.71904,0.16457,0.71904,100,17,false,0.66667
718,0.73009,0.1574,0.73009,100,29,false,0.66667
719,0.7258,0.15696,0.7258,100,16,false,0.66667
720,0.69757,0.16977,0.69757,100,22,false,0.66667
721,0.69979,0.16645,0.69979,100,31,false,0.66667
722,0.70135,0.16082,0.70135,101,31,false,0.66667
723,0.71936,0.15206,0.71936,100,29,false,0.66667
724,0.71227,0.16312,0.71227,100,26,false,0.66667
725,0.70661,0.15969,0.70661,100,19,false,0.66667
726,0.7162,0.15875,0.7162,100,25,false,0.66667
727,0.71034,0.16812,0.71034,101,25,false,0.66667
728,0.7149,0.16621,0.7149,100,18,false,0.66667
729,0.72789,0.16384,0.72789,100,22,false,0.66667
730,0.72487,0.1658,0.72487,100,19,false,0.66667
731,0.71313,0.17434,0.71313,100,20,false,0.66667
732,0.70216,0.17441,0.70216,100,23,false,0.66667
733,0.70856,0.16912,0.70856,100,29,false,0.66667
734,0.69042,0.17003,0.69042,100,32,false,0.66667
735,0.70828,0.16567,0.70828,100,24,false,0.66667
736,0.71598,0.16148,0.71598,100,26,false,0.66667
737,0.70955,0.16694,0.70955,100,19,false,0.66667
738,0.72567,0.16355,0.72567,100,20,false,0.66667
739,0.72258,0.16528,0.72258,100,19,false,0.66667
740,0.70651,0.16465,0.70651,100,21,false,0.66667
741,0.69214,0.16382,0.69214,101,21,false,0.66667
742,0.69908,0.16636,0.69908,100,28,false,0.66667
743,0.69088,0.1609,0.69088,100,28,false,0.66667
744,0.6915,0.16553,0.6915,100,25,false,0.66667
745,0.69547,0.16645,0.69547,100,24,false,0.66667
746,0.69216,0.16919,0.69216,100,19,false,0.66667
747,0.67967,0.17127,0.67967,100,22,false,0.66667
748,0.68291,0.17383,0.68291,100,23,false,0.66667
749,0.67639,0.18427,0.67639,100,32,false,0.66667
750,0.646,0.18223,0.646,100,30,false,0.66667
751,0.65546,0.19177,0.65546,100,40,true,0.66667
752,0.64433,0.18852,0.64433,100,40,true,0.66667
753,0.6202,0.18171,0.6202,100,40,true,0.66667
754,0.63445,0.18031,0.63445,100,32,false,0.66667
755,0.63973,0.17753,0.63973,100,37,false,0.66667
756,0.652,0.18572,0.652,101,35,false,0.66667
757,0.66164,0.18089,0.66164,100,40,true,0.66667
758,0.65213,0.17994,0.65213,100,40,true,0.66667
759,0.644,0.18913,0.644,100,36,false,0.66667
760,0.63902,0.191,0.63902,100,40,true,0.66667
761,0.64192,0.19102,0.64192,100,36,false,0.66667
762,0.66367,0.18559,0.66367,100,40,true,0.66667
763,0.66051,0.1764,0.66051,100,38,false,0.66667
764,0.67762,0.1747,0.67762,100,34,false,0.66667
765,0.69395,0.17613,0.69395,100,34,false,0.66667
766,0.71145,0.16895,0.71145,100,24,false,0.66667
767,0.70012,0.17445,0.70012,100,22,false,0.66667
768,0.69481,0.18831,0.69481,100,34,false,0.66667
769,0.69824,0.19292,0.69824,100,40,true,0.66667
770,0.68232,0.19943,0.68232,100,14,false,0.66667
771,0.68342,0.19745,0.68342,100,33,false,0.66667
772,0.69477,0.18691,0.69477,100,25,false,0.66667
773,0.72392,0.17342,0.72392,100,28,false,0.66667
774,0.70533,0.18337,0.70533,100,20,false,0.66667
775,0.69001,0.197,0.69001,100,23,false,0.66667
776,0.67479,0.19888,0.67479,100,28,false,0.66667
777,0.69301,0.19629,0.69301,100,29,false,0.66667
778,0.6928,0.19409,0.6928,100,21,false,0.66667
779,0.70402,0.18934,0.70402,100,33,false,0.66667
780,0.69835,0.19494,0.69835,100,25,false,0.66667
781,0.70881,0.18582,0.70881,100,21,false,0.66667
782,0.69843,0.18934,0.69843,100,18,false,0.66667
783,0.69287,0.18734,0.69287,100,27,false,0.66667
784,0.68322,0.19548,0.68322,100,23,false,0.66667
785,0.68654,0.19417,0.68654,100,27,false,0.66667
